EV_Charging_Station_Name,Charging_Location_ID,EV_Station_Working_Status,City_Name,Location_Area_Name,CPO_Operator,Vehicle_Name,Vehicle_Category,Session_ID,Charger_Type,Charging_Mode,Charger_Power,Connector_Type,Connector_Code,Currency,Price_per_kWh,Session_Start_Datetime,Session_End_Datetime,Duration,Duration_Minutes,Energy_Qty_kWh,Vehicle_Make_Model,Vehicle_Type,Vehicle_Battery_kWh,SOC_Start_%,SOC_End_%,Payment_Method,Payment_Status,Session_Energy_Amount,Session_Fee,Untaxed_Amount,Tax_Rate_%,Tax_Amount,Session_Total,Meter_Start_kWh,Meter_End_kWh,Session_Status,Idle_Time_Minutes,Tariff_Type
Ather Grid - City Square EV Hub - Renigunta Road,RL09518,Open Soon,Tirupati,Renigunta Road,Ather Grid,Tata Tiago EV,Electric 4-Wheeler,SES-20260827-008518,AC,AC Charging,11 kW,J1772,CN3,CAD,0.39,2026-08-27 11:29:00,2026-08-27 13:10:00,01:41:00,101,15.53,MG ZS EV,EV,24,36,100,Bank Card,Pending,6.06,2,8.06,15,1.21,9.27,23087.91,23103.44,Completed,4,Energy
Rebolt - Grand Residency - Armoor Road,RL09519,Open Soon,Nizamabad,Armoor Road,Rebolt,Tesla Model 3,Electric 4-Wheeler,SES-20260827-008519,AC,AC Charging,7 kW,J1772,CN1,CAD,0.4,2026-08-27 10:52:00,2026-08-27 13:01:00,02:09:00,129,9.15,Hyundai Ioniq 5,EV,60,58,73,Wallet,Paid,3.66,0,3.66,5,0.18,3.84,219372.62,219381.77,Completed,13,Energy
ChargeMOD - Urban Nest Residency - Bypass Road,RL09520,Available,Madurai,Bypass Road,ChargeMOD,Ather Rizta,Electric 2-Wheeler,SES-20260901-008520,AC,AC Charging,3.3 kW,Type 2,CN2,USD,0.44,2026-09-01 12:04:00,2026-09-01 14:08:00,02:04:00,124,6.08,Hyundai Ioniq 5,EV,3.7,58,100,RFID,Paid,2.68,2,4.68,5,0.23,4.91,21674.12,21680.2,In Progress,0,Energy
ChargeMOD - PowerGrid EV Hub - Tiruchanoor Road,RL09521,Available,Tirupati,Tiruchanoor Road,ChargeMOD,MG Windsor EV,Electric 4-Wheeler,SES-20260817-008521,AC,AC Charging,3.3 kW,J1772,CN3,USD,0.43,2026-08-17 22:55:00,2026-08-18 01:52:00,02:57:00,177,7.45,Polestar 2,EV,38,19,39,Network App,Paid,3.2,2,5.2,8,0.42,5.62,78105.23,78112.68,Completed,24,Energy
ChargeMOD - Grand Residency - Sathuvachari,RL09522,Available,Vellore,Sathuvachari,ChargeMOD,Citroen eC3 Aircross,Electric 4-Wheeler,SES-20260817-008522,AC,AC Charging,11 kW,J1772,CN1,USD,0.42,2026-08-17 10:52:00,2026-08-17 11:48:00,00:56:00,56,7.82,MG ZS EV,EV,29.2,24,51,Wallet,Paid,3.28,0,3.28,10,0.33,3.61,407194.82,407202.64,Completed,25,Energy
Jio-bp pulse - Gateway Charging Station - Dwaraka Nagar,RL09523,Available,Visakhapatnam,Dwaraka Nagar,Jio-bp pulse,Tata Nexon EV,Electric 4-Wheeler,SES-20260725-008523,DC,DC Fast Charging,50 kW,CHAdeMO,CN3,USD,0.48,2026-07-25 10:40:00,2026-07-25 11:39:00,00:59:00,59,30.4,Hyundai Ioniq 5,EV,40.5,24,99,Network App,Paid,14.59,0.5,15.09,8,1.21,16.3,103722.12,103752.52,Completed,16,Energy
Charge Zone - City Square EV Hub - Kazipet,RL09524,Open Soon,Warangal,Kazipet,Charge Zone,Tesla Model Y,Electric 4-Wheeler,SES-20260807-008524,DC,DC Fast Charging,150 kW,CCS2,CN4,USD,0.42,2026-08-07 13:50:00,2026-08-07 15:10:00,01:20:00,80,135.88,Tesla Model 3,EV,75,42,100,Bank Card,Paid,57.07,0.5,57.57,10,5.76,63.33,355521.84,355657.72,Completed,28,Time + Energy
Rebolt - Business Bay - Madhurawada,RL09525,Available,Visakhapatnam,Madhurawada,Rebolt,Tata Nexon EV,Electric 4-Wheeler,SES-20260803-008525,AC,AC Charging,3.3 kW,Type 2,CN1,USD,0.39,2026-08-03 16:20:00,2026-08-03 18:48:00,02:28:00,148,6.16,Tesla Model 3,EV,40.5,58,73,RFID,Paid,2.4,0,2.4,10,0.24,2.64,160979.09,160985.25,Completed,22,Energy + Session Fee
Tata Power EZ Charge - Gateway Charging Station - Mannuthy,RL09526,Available,Thrissur,Mannuthy,Tata Power EZ Charge,Ola S1 Pro,Electric 2-Wheeler,SES-20260727-008526,AC,AC Charging,7 kW,Type 2,CN2,CAD,0.3,2026-07-27 06:32:00,2026-07-27 08:44:00,02:12:00,132,12,Hyundai Ioniq 5,EV,4,53,100,Wallet,Paid,3.6,1,4.6,5,0.23,4.83,98993.67,99005.67,Completed,30,Energy
Jio-bp pulse - Lakeview Apartments - Avinashi Road,RL09527,Available,Coimbatore,Avinashi Road,Jio-bp pulse,Ather Rizta,Electric 2-Wheeler,SES-20260901-008527,AC,AC Charging,11 kW,J1772,CN3,CAD,0.3,2026-09-01 22:07:00,2026-09-01 23:37:00,01:30:00,90,14.18,Tata Nexon EV,EV,3.7,43,100,Bank Card,Paid,4.25,0,4.25,13,0.55,4.81,70409.02,70423.2,Completed,12,Energy
Statiq - Highway Charge Hub - Olavakkode,RL09528,Open Soon,Palakkad,Olavakkode,Statiq,Kia Carens EV,Electric 4-Wheeler,SES-20260815-008528,AC,AC Charging,22 kW,Type 2,CN4,CAD,0.3,2026-08-15 08:01:00,2026-08-15 10:27:00,02:26:00,146,47.05,MG ZS EV,EV,50,19,99,UPI,Pending,14.11,0,14.11,13,1.83,15.95,33251.4,33298.45,Completed,0,Energy
ChargeMOD - SmartCharge Point - Nungambakkam,RL09529,Available,Chennai,Nungambakkam,ChargeMOD,BMW iX1,Electric 4-Wheeler,SES-20260817-008529,AC,AC Charging,3.3 kW,Type 2,CN3,USD,0.36,2026-08-17 00:40:00,2026-08-17 03:16:00,02:36:00,156,7.56,Ford Mustang Mach-E,EV,66.4,47,58,UPI,Paid,2.72,0,2.72,10,0.27,2.99,177593.08,177600.64,Completed,25,Energy
Ather Grid - UrbanCharge Station - Velachery,RL09530,Available,Chennai,Velachery,Ather Grid,Tata Tiago EV,Electric 4-Wheeler,SES-20260809-008530,AC,AC Charging,11 kW,J1772,CN1,USD,0.3,2026-08-09 01:15:00,2026-08-09 02:37:00,01:22:00,82,9.71,Volkswagen ID.4,EV,24,46,86,UPI,Paid,2.91,0,2.91,0,0,2.91,389106.82,389116.53,Completed,8,Energy
Rebolt - Premium Auto Care - Kangeyam Road,RL09531,Available,Tiruppur,Kangeyam Road,Rebolt,Kia EV6,Electric 4-Wheeler,SES-20260819-008531,DC,DC Fast Charging,250 kW,CCS2,CN4,USD,0.42,2026-08-19 14:00:00,2026-08-19 14:45:00,00:45:00,45,151.93,Chevrolet Bolt EV,EV,77.4,32,100,Bank Card,Paid,63.81,0,63.81,8,5.1,68.92,463807.42,463959.35,Completed,9,Energy
Kazam - Urban Nest Residency - Guindy,RL09532,Temp Closed,Chennai,Guindy,Kazam,Kia Carens EV,Electric 4-Wheeler,SES-20260820-008532,DC,DC Fast Charging,25 kW,CCS2,CN1,USD,0.41,2026-08-20 17:43:00,2026-08-20 18:47:00,01:04:00,64,15.07,Kia EV6,EV,50,31,61,RFID,Paid,6.18,0.5,6.68,10,0.67,7.35,430122.18,430137.25,Completed,13,Energy
Zeon Charging - Iron Hill Apartments - Bejai,RL09533,Available,Mangaluru,Bejai,Zeon Charging,Ather Rizta,Electric 2-Wheeler,SES-20260829-008533,DC,DC Fast Charging,100 kW,CHAdeMO,CN4,CAD,0.32,2026-08-29 08:02:00,2026-08-29 09:23:00,01:21:00,81,86.8,MG ZS EV,EV,3.7,30,100,Bank Card,Paid,27.78,0,27.78,13,3.61,31.39,155981.14,156067.94,Completed,15,Energy
Jio-bp pulse - EV Mobility Hub - B.M. Road,RL09534,Available,Hassan,B.M. Road,Jio-bp pulse,Tesla Model Y,Electric 4-Wheeler,SES-20260811-008534,DC,DC Fast Charging,250 kW,CHAdeMO,CN4,USD,0.45,2026-08-11 02:23:00,2026-08-11 02:46:00,00:23:00,23,69.77,MG ZS EV,EV,75,28,100,Bank Card,Paid,31.4,2,33.4,8,2.67,36.07,303488.21,303557.98,Completed,7,Energy
Kazam - PowerGrid EV Hub - Banjara Hills,RL09535,Open Soon,Hyderabad,Banjara Hills,Kazam,TVS iQube,Electric 2-Wheeler,SES-20260804-008535,DC,DC Fast Charging,250 kW,CCS1,CN3,USD,0.39,2026-08-04 17:54:00,2026-08-04 19:09:00,01:15:00,75,261.96,Tata Nexon EV,EV,5.3,28,100,Network App,Paid,102.16,2,104.16,8,8.33,112.5,267560.67,267822.63,Completed,28,Energy
Jio-bp pulse - Iron Hill Apartments - Kondapur,RL09536,Available,Hyderabad,Kondapur,Jio-bp pulse,Bajaj Chetak EV,Electric 2-Wheeler,SES-20260827-008536,AC,AC Charging,11 kW,Type 2,CN2,CAD,0.4,2026-08-27 14:23:00,2026-08-27 16:44:00,02:21:00,141,18.16,Tesla Model 3,EV,3.2,11,91,Network App,Paid,7.26,0.5,7.76,13,1.01,8.77,311684.8,311702.96,Completed,25,Energy
Jio-bp pulse - Central Plaza - Gachibowli,RL09537,Temp Closed,Hyderabad,Gachibowli,Jio-bp pulse,BMW iX1,Electric 4-Wheeler,SES-20260730-008537,DC,DC Fast Charging,50 kW,CCS2,CN2,USD,0.41,2026-07-30 17:54:00,2026-07-30 18:40:00,00:46:00,46,33.52,Tata Nexon EV,EV,66.4,45,95,UPI,Paid,13.74,0,13.74,8,1.1,14.84,386981.85,387015.37,Completed,5,Energy
Jio-bp pulse - Iron Hill Apartments - Koramangala,RL09538,Available,Bengaluru,Koramangala,Jio-bp pulse,Mercedes-Benz EQB,Electric 4-Wheeler,SES-20260830-008538,AC,AC Charging,22 kW,J1772,CN2,USD,0.45,2026-08-30 03:51:00,2026-08-30 06:04:00,02:13:00,133,39.57,Volkswagen ID.4,EV,66.5,33,93,Wallet,Paid,17.81,0,17.81,0,0,17.81,424801.02,424840.59,Completed,11,Energy + Session Fee
Jio-bp pulse - UrbanCharge Station - Avinashi Road,RL09539,Temp Closed,Tiruppur,Avinashi Road,Jio-bp pulse,Kia EV6,Electric 4-Wheeler,SES-20260724-008539,AC,AC Charging,7 kW,J1772,CN3,USD,0.42,2026-07-24 04:12:00,2026-07-24 06:37:00,02:25:00,145,14.37,Tesla Model 3,EV,77.4,56,75,Wallet,Paid,6.04,0.5,6.54,8,0.52,7.06,270962.62,270976.99,Completed,27,Time + Energy
ChargeMOD - Green Valley Apartments - Vidyanagar,RL09540,Available,Hubballi,Vidyanagar,ChargeMOD,Hyundai Creta Electric,Electric 4-Wheeler,SES-20260829-008540,AC,AC Charging,7 kW,Type 2,CN3,USD,0.37,2026-08-29 02:53:00,2026-08-29 05:17:00,02:24:00,144,10.82,Hyundai Ioniq 5,EV,51.4,24,45,Bank Card,Paid,4,2,6,10,0.6,6.6,109815.32,109826.14,Completed,29,Energy + Session Fee
Zeon Charging - Metro Business Park - Talap,RL09541,Available,Kannur,Talap,Zeon Charging,BYD Atto 3,Electric 4-Wheeler,SES-20260830-008541,AC,AC Charging,7 kW,J1772,CN3,USD,0.44,2026-08-30 17:32:00,2026-08-30 20:00:00,02:28:00,148,13.53,Rivian R1T,EV,60.5,59,81,Network App,Pending,5.95,0,5.95,8,0.48,6.43,42749.55,42763.08,Completed,8,Energy
Jio-bp pulse - UrbanCharge Station - Five Roads,RL09542,Available,Salem,Five Roads,Jio-bp pulse,MG Windsor EV,Electric 4-Wheeler,SES-20260811-008542,AC,AC Charging,11 kW,Type 1,CN4,CAD,0.29,2026-08-11 16:58:00,2026-08-11 19:16:00,02:18:00,138,15.29,Hyundai Ioniq 5,EV,38,19,59,Wallet,Paid,4.43,0,4.43,13,0.58,5.01,429872.63,429887.92,In Progress,0,Energy + Session Fee
Jio-bp pulse - Central Plaza - Katpadi,RL09543,Open Soon,Vellore,Katpadi,Jio-bp pulse,Mahindra XUV400 EV,Electric 4-Wheeler,SES-20260821-008543,AC,AC Charging,3.3 kW,Type 2,CN1,CAD,0.28,2026-08-21 10:23:00,2026-08-21 12:18:00,01:55:00,115,3.89,Hyundai Ioniq 5,EV,39.4,60,70,Bank Card,Paid,1.09,0,1.09,13,0.14,1.23,304948.59,304952.48,In Progress,0,Energy
Tata Power EZ Charge - EcoDrive Hub - Sira Road,RL09544,Available,Tumakuru,Sira Road,Tata Power EZ Charge,MG Windsor EV,Electric 4-Wheeler,SES-20260811-008544,AC,AC Charging,3.3 kW,Type 1,CN1,USD,0.42,2026-08-11 13:18:00,2026-08-11 15:28:00,02:10:00,130,6.41,BYD Atto 3,EV,38,55,72,Network App,Paid,2.69,1,3.69,10,0.37,4.06,244178.97,244185.38,Interrupted,0,Energy
Tata Power EZ Charge - Tech Park Charging Hub - Nungambakkam,RL09545,Available,Chennai,Nungambakkam,Tata Power EZ Charge,Ather Rizta,Electric 2-Wheeler,SES-20260902-008545,DC,DC Fast Charging,150 kW,CCS2,CN2,USD,0.4,2026-09-02 10:30:00,2026-09-02 10:59:00,00:29:00,29,63.01,MG ZS EV,EV,3.7,34,100,Bank Card,Paid,25.2,0.5,25.7,10,2.57,28.27,5415.7,5478.71,Completed,22,Energy
Statiq - City Square EV Hub - Mattuthavani,RL09546,Temp Closed,Madurai,Mattuthavani,Statiq,Ather 450X,Electric 2-Wheeler,SES-20260830-008546,AC,AC Charging,11 kW,J1772,CN2,USD,0.46,2026-08-30 20:07:00,2026-08-30 21:59:00,01:52:00,112,14.36,Volkswagen ID.4,EV,3.7,20,100,Bank Card,Paid,6.61,1,7.61,0,0,7.61,167296.83,167311.19,Completed,15,Energy
Jio-bp pulse - GreenRoute Charging Point - Mavoor Road,RL09547,Available,Kozhikode,Mavoor Road,Jio-bp pulse,TVS X,Electric 2-Wheeler,SES-20260901-008547,AC,AC Charging,11 kW,J1772,CN3,USD,0.48,2026-09-01 03:23:00,2026-09-01 05:17:00,01:54:00,114,12.62,Chevrolet Bolt EV,EV,4.4,11,91,Wallet,Paid,6.06,0,6.06,5,0.3,6.36,382452.42,382465.04,Completed,0,Energy
Statiq - City Centre Mall - Bypass Road,RL09548,Available,Madurai,Bypass Road,Statiq,TVS X,Electric 2-Wheeler,SES-20260809-008548,AC,AC Charging,7 kW,J1772,CN3,CAD,0.3,2026-08-09 13:54:00,2026-08-09 16:28:00,02:34:00,154,10.35,Hyundai Ioniq 5,EV,4.4,47,100,Bank Card,Paid,3.1,1,4.11,15,0.62,4.72,460125.56,460135.91,Completed,16,Energy + Session Fee
Zeon Charging - City Square EV Hub - Alipiri,RL09549,Available,Tirupati,Alipiri,Zeon Charging,Tata Punch EV,Electric 4-Wheeler,SES-20260901-008549,AC,AC Charging,11 kW,J1772,CN4,CAD,0.34,2026-09-01 19:19:00,2026-09-01 21:52:00,02:33:00,153,22.35,Polestar 2,EV,35,34,98,Bank Card,Paid,7.6,0.5,8.1,13,1.05,9.15,364648.21,364670.56,Completed,28,Energy
Jio-bp pulse - Highway Charge Hub - KK Nagar,RL09550,Available,Madurai,KK Nagar,Jio-bp pulse,TVS iQube,Electric 2-Wheeler,SES-20260813-008550,AC,AC Charging,22 kW,J1772,CN4,CAD,0.31,2026-08-13 04:13:00,2026-08-13 05:35:00,01:22:00,82,19.81,Polestar 2,EV,5.3,47,100,Wallet,Paid,6.14,0,6.14,13,0.8,6.94,335081.5,335101.31,Completed,20,Energy
Zeon Charging - Premium Auto Care - Hebbal,RL09551,Available,Bengaluru,Hebbal,Zeon Charging,Tata Tiago EV,Electric 4-Wheeler,SES-20260812-008551,AC,AC Charging,22 kW,Type 2,CN3,CAD,0.32,2026-08-12 10:05:00,2026-08-12 11:25:00,01:20:00,80,22.27,Tesla Model 3,EV,24,10,90,Network App,Paid,7.13,0,7.13,15,1.07,8.2,51568.29,51590.56,Completed,10,Energy
ChargeMOD - Highway Charge Hub - Cantonment,RL09552,Available,Tiruchirappalli,Cantonment,ChargeMOD,Tata Tiago EV,Electric 4-Wheeler,SES-20260829-008552,AC,AC Charging,11 kW,Type 2,CN2,CAD,0.32,2026-08-29 00:30:00,2026-08-29 03:07:00,02:37:00,157,20.28,BYD Atto 3,EV,24,24,100,Bank Card,Paid,6.49,0,6.49,5,0.32,6.81,43496.05,43516.33,Completed,3,Energy + Session Fee
Rebolt - Iron Hill Apartments - Gollapudi,RL09553,Temp Closed,Vijayawada,Gollapudi,Rebolt,TVS iQube,Electric 2-Wheeler,SES-20260821-008553,AC,AC Charging,11 kW,J1772,CN1,CAD,0.29,2026-08-21 05:51:00,2026-08-21 07:00:00,01:09:00,69,10.43,BYD Atto 3,EV,5.3,11,91,Network App,Paid,3.02,0,3.02,15,0.45,3.48,10282.18,10292.61,In Progress,0,Energy
Rebolt - Urban Nest Residency - Kanjikuzhi,RL09554,Temp Closed,Kottayam,Kanjikuzhi,Rebolt,TVS iQube,Electric 2-Wheeler,SES-20260827-008554,AC,AC Charging,22 kW,J1772,CN3,CAD,0.33,2026-08-27 18:52:00,2026-08-27 21:49:00,02:57:00,177,43.67,MG ZS EV,EV,5.3,34,100,Bank Card,Paid,14.41,0.5,14.91,5,0.75,15.66,52038.7,52082.37,Completed,12,Energy
Jio-bp pulse - Premium Auto Care - Banjara Hills,RL09555,Available,Hyderabad,Banjara Hills,Jio-bp pulse,Hyundai Ioniq 5,Electric 4-Wheeler,SES-20260815-008555,AC,AC Charging,3.3 kW,Type 2,CN4,CAD,0.34,2026-08-15 04:37:00,2026-08-15 07:07:00,02:30:00,150,5.72,MG ZS EV,EV,72.6,55,63,Bank Card,Paid,1.94,0,1.94,13,0.25,2.2,473248.01,473253.73,Completed,1,Energy
Jio-bp pulse - Gateway Charging Station - Srirangam,RL09556,Open Soon,Tiruchirappalli,Srirangam,Jio-bp pulse,Tata Punch EV,Electric 4-Wheeler,SES-20260821-008556,AC,AC Charging,7 kW,Type 1,CN4,USD,0.45,2026-08-21 00:32:00,2026-08-21 02:28:00,01:56:00,116,10.94,Rivian R1T,EV,35,48,79,Network App,Paid,4.92,0.5,5.42,8,0.43,5.86,19854.67,19865.61,Completed,3,Energy + Session Fee
Rebolt - GreenRoute Charging Point - Nungambakkam,RL09557,Open Soon,Chennai,Nungambakkam,Rebolt,Kia EV6,Electric 4-Wheeler,SES-20260815-008557,AC,AC Charging,7 kW,Type 2,CN3,CAD,0.36,2026-08-15 18:31:00,2026-08-15 19:12:00,00:41:00,41,3.72,Hyundai Ioniq 5,EV,77.4,59,64,RFID,Paid,1.34,0,1.34,5,0.07,1.41,103181.09,103184.81,Completed,4,Energy
Rebolt - Grand Residency - Jubilee Hills,RL09558,Available,Hyderabad,Jubilee Hills,Rebolt,TVS iQube,Electric 2-Wheeler,SES-20260807-008558,DC,DC Fast Charging,250 kW,CCS2,CN3,USD,0.45,2026-08-07 13:26:00,2026-08-07 14:39:00,01:13:00,73,229.68,Hyundai Ioniq 5,EV,5.3,37,100,Bank Card,Paid,103.36,1,104.36,10,10.44,114.79,444094.8,444324.48,Completed,17,Energy
Zeon Charging - Urban Nest Residency - Olavakkode,RL09559,Available,Palakkad,Olavakkode,Zeon Charging,Ather Rizta,Electric 2-Wheeler,SES-20260808-008559,AC,AC Charging,3.3 kW,J1772,CN1,CAD,0.35,2026-08-08 17:42:00,2026-08-08 20:26:00,02:44:00,164,6.2,Chevrolet Bolt EV,EV,3.7,50,100,Bank Card,Paid,2.17,2,4.17,13,0.54,4.71,491305.18,491311.38,Completed,29,Energy
Jio-bp pulse - PowerGrid EV Hub - Tambaram,RL09560,Available,Chennai,Tambaram,Jio-bp pulse,MG ZS EV,Electric 4-Wheeler,SES-20260820-008560,AC,AC Charging,7 kW,Type 1,CN3,CAD,0.4,2026-08-20 05:46:00,2026-08-20 06:47:00,01:01:00,61,4.27,MG ZS EV,EV,50.3,20,28,Wallet,Paid,1.71,0,1.71,5,0.09,1.79,17785.52,17789.79,Completed,26,Energy
Rebolt - Central Plaza - Madhapur,RL09561,Temp Closed,Hyderabad,Madhapur,Rebolt,Tesla Model 3,Electric 4-Wheeler,SES-20260817-008561,AC,AC Charging,7 kW,J1772,CN1,CAD,0.35,2026-08-17 13:50:00,2026-08-17 16:05:00,02:15:00,135,13.04,Hyundai Ioniq 5,EV,60,23,45,Network App,Paid,4.56,1,5.56,13,0.72,6.29,472649.98,472663.02,Completed,0,Energy
Tata Power EZ Charge - EcoDrive Hub - Sadashiv Nagar,RL09562,Open Soon,Belagavi,Sadashiv Nagar,Tata Power EZ Charge,Tata Punch EV,Electric 4-Wheeler,SES-20260827-008562,AC,AC Charging,3.3 kW,J1772,CN4,USD,0.41,2026-08-27 03:30:00,2026-08-27 06:03:00,02:33:00,153,6.83,Kia EV6,EV,35,39,59,UPI,Paid,2.8,2,4.8,0,0,4.8,179117.16,179123.99,Completed,8,Energy
Zeon Charging - Iron Hill Apartments - Sagar Road,RL09563,Available,Shivamogga,Sagar Road,Zeon Charging,Ather 450X,Electric 2-Wheeler,SES-20260902-008563,AC,AC Charging,3.3 kW,J1772,CN3,USD,0.42,2026-09-02 17:10:00,2026-09-02 17:50:00,00:40:00,40,1.47,Ford Mustang Mach-E,EV,3.7,10,50,UPI,Paid,0.62,1,1.62,8,0.13,1.75,371831.98,371833.45,Completed,7,Energy
Rebolt - City Centre Mall - Alipiri,RL09564,Available,Tirupati,Alipiri,Rebolt,BYD Atto 3,Electric 4-Wheeler,SES-20260902-008564,AC,AC Charging,3.3 kW,Type 2,CN3,USD,0.37,2026-09-02 02:13:00,2026-09-02 03:28:00,01:15:00,75,3.68,Polestar 2,EV,60.5,56,62,Bank Card,Paid,1.36,0.5,1.86,5,0.09,1.95,492310.66,492314.34,Completed,27,Energy
Rebolt - EcoDrive Hub - Hosur Road,RL09565,Available,Krishnagiri,Hosur Road,Rebolt,Hyundai Ioniq 5,Electric 4-Wheeler,SES-20260826-008565,AC,AC Charging,3.3 kW,Type 2,CN3,USD,0.43,2026-08-26 22:37:00,2026-08-27 00:12:00,01:35:00,95,4.35,Tata Nexon EV,EV,72.6,46,52,Network App,Paid,1.87,0,1.87,8,0.15,2.02,348285.58,348289.93,Completed,21,Time + Energy
Jio-bp pulse - Grand Residency - Alipiri,RL09566,Open Soon,Tirupati,Alipiri,Jio-bp pulse,Ather 450X,Electric 2-Wheeler,SES-20260730-008566,AC,AC Charging,3.3 kW,Type 2,CN3,USD,0.44,2026-07-30 07:48:00,2026-07-30 09:05:00,01:17:00,77,2.86,Tata Nexon EV,EV,3.7,24,100,Bank Card,Paid,1.26,0,1.26,10,0.13,1.38,135696.24,135699.1,Completed,23,Energy + Session Fee
Charge Zone - Lakeview Apartments - Adyar,RL09567,Available,Chennai,Adyar,Charge Zone,Ather Rizta,Electric 2-Wheeler,SES-20260813-008567,AC,AC Charging,7 kW,Type 2,CN4,USD,0.45,2026-08-13 02:11:00,2026-08-13 04:40:00,02:29:00,149,12.85,Kia EV6,EV,3.7,32,100,UPI,Paid,5.78,0.5,6.28,8,0.5,6.79,292032.62,292045.47,Completed,22,Energy
Tata Power EZ Charge - Highway Charge Hub - Yeshwanthpur,RL09568,Available,Bengaluru,Yeshwanthpur,Tata Power EZ Charge,Tata Tiago EV,Electric 4-Wheeler,SES-20260903-008568,AC,AC Charging,7 kW,J1772,CN3,USD,0.45,2026-09-03 05:56:00,2026-09-03 06:54:00,00:58:00,58,4.9,Tata Nexon EV,EV,24,9,29,Bank Card,Paid,2.2,1,3.2,10,0.32,3.53,174425.12,174430.02,Completed,4,Energy
Zeon Charging - Grand Residency - Mattuthavani,RL09569,Available,Madurai,Mattuthavani,Zeon Charging,Kia Carens EV,Electric 4-Wheeler,SES-20260725-008569,AC,AC Charging,3.3 kW,J1772,CN3,USD,0.45,2026-07-25 06:08:00,2026-07-25 06:49:00,00:41:00,41,1.8,Rivian R1T,EV,50,48,52,Network App,Paid,0.81,0,0.81,5,0.04,0.85,301959.74,301961.54,Completed,18,Energy
Jio-bp pulse - Highway Charge Hub - Tilakwadi,RL09570,Available,Belagavi,Tilakwadi,Jio-bp pulse,Hyundai Creta Electric,Electric 4-Wheeler,SES-20260724-008570,DC,DC Fast Charging,150 kW,CCS1,CN3,USD,0.42,2026-07-24 02:46:00,2026-07-24 03:38:00,00:52:00,52,85.59,Tata Nexon EV,EV,51.4,9,89,Wallet,Paid,35.95,0,35.95,5,1.8,37.75,295064.87,295150.46,Completed,3,Energy
Jio-bp pulse - Iron Hill Apartments - Alipiri,RL09571,Available,Tirupati,Alipiri,Jio-bp pulse,BYD Atto 3,Electric 4-Wheeler,SES-20260828-008571,AC,AC Charging,22 kW,Type 2,CN3,USD,0.48,2026-08-28 23:04:00,2026-08-29 00:45:00,01:41:00,101,32.76,Tata Nexon EV,EV,60.5,35,89,Network App,Paid,15.72,0.5,16.22,10,1.62,17.85,52652.32,52685.08,Completed,25,Energy
Charge Zone - SmartCharge Point - OMR,RL09572,Available,Chennai,OMR,Charge Zone,MG Windsor EV,Electric 4-Wheeler,SES-20260826-008572,AC,AC Charging,11 kW,Type 2,CN3,USD,0.31,2026-08-26 15:18:00,2026-08-26 15:56:00,00:38:00,38,6.26,Kia EV6,EV,38,47,63,Bank Card,Paid,1.94,0.5,2.44,8,0.2,2.64,272760.2,272766.46,Completed,18,Energy
Rebolt - UrbanCharge Station - Peelamedu,RL09573,Available,Coimbatore,Peelamedu,Rebolt,Tata Tiago EV,Electric 4-Wheeler,SES-20260803-008573,AC,AC Charging,3.3 kW,Type 2,CN1,USD,0.47,2026-08-03 16:27:00,2026-08-03 17:43:00,01:16:00,76,3.7,MG ZS EV,EV,24,46,61,UPI,Paid,1.74,1,2.74,10,0.27,3.01,207613.81,207617.51,Completed,27,Energy
Statiq - Metro Business Park - Brodipet,RL09574,Available,Guntur,Brodipet,Statiq,Tata Tigor EV,Electric 4-Wheeler,SES-20260813-008574,DC,DC Fast Charging,250 kW,CHAdeMO,CN4,USD,0.48,2026-08-13 07:41:00,2026-08-13 08:10:00,00:29:00,29,76.53,BYD Atto 3,EV,26,49,100,UPI,Paid,36.73,1,37.73,0,0,37.73,367651.56,367728.09,Completed,15,Energy
Tata Power EZ Charge - City Centre Mall - Pattom,RL09575,Available,Thiruvananthapuram,Pattom,Tata Power EZ Charge,Tata Tigor EV,Electric 4-Wheeler,SES-20260830-008575,AC,AC Charging,3.3 kW,J1772,CN1,CAD,0.26,2026-08-30 01:25:00,2026-08-30 03:28:00,02:03:00,123,5.38,Hyundai Ioniq 5,EV,26,56,77,Bank Card,Paid,1.4,2,3.4,13,0.44,3.84,382806.7,382812.08,Completed,24,Energy + Session Fee
Rebolt - Green Valley Apartments - Olavakkode,RL09576,Available,Palakkad,Olavakkode,Rebolt,MG Windsor EV,Electric 4-Wheeler,SES-20260807-008576,AC,AC Charging,7 kW,Type 2,CN1,CAD,0.3,2026-08-07 07:41:00,2026-08-07 09:59:00,02:18:00,138,11.77,Volkswagen ID.4,EV,38,24,55,UPI,Paid,3.53,2,5.53,15,0.83,6.36,394724.3,394736.07,Completed,20,Energy
Tata Power EZ Charge - Grand Residency - Technopark,RL09577,Open Soon,Thiruvananthapuram,Technopark,Tata Power EZ Charge,Volkswagen ID.4,Electric 4-Wheeler,SES-20260817-008577,AC,AC Charging,3.3 kW,J1772,CN4,CAD,0.26,2026-08-17 16:17:00,2026-08-17 18:11:00,01:54:00,114,4.72,Tesla Model Y,EV,77,28,34,Wallet,Paid,1.23,0,1.23,13,0.16,1.39,35050.91,35055.63,Completed,30,Energy
